Filesystem,Mount,Type,Used,Available
ms21563,part02-msg,NFS,96.43,98398460
ms15574,part02-msg,NFS,96.21,134995388
ms12514,part04-msg,NFS,95.91,107327472
ms26561,part06-msg,NFS,95.65,146749256
ms40543,part03-msg,NFS,95.56,150014980
ms12514,part02-msg,NFS,95.51,123043876
ms12514,part05-msg,NFS,95.38,121485848
ms15573,part03-msg,NFS,95.25,160195188
ms17574,part04-msg,NFS,95.23,85840123
ms15571,part03-msg,NFS,95.22,161245612
ms21563,part04-msg,NFS,95.21,121304944
ms59029,part02-msg,DOCKER,95.19,206923712
ms16574,part04-msg,NFS,95.18,162670916
ms16574,part05-msg,NFS,95.17,167479308
ms26561,part03-msg,NFS,95.13,164408604
ms12514,part06-msg,NFS,95.07,134307408
ms15571,part06-msg,NFS,95.06,166830180
ms17572,part05-msg,NFS,95.06,62653246
ms21563,part06-msg,NFS,95.04,125385012
ms42532,part05-msg,NFS,95.03,168037672
ms21563,part05-msg,NFS,94.98,136374580
ms55010,part02-msg,DOCKER,94.95,192989920
ms71151,part01-msg,DOCKER,94.95,63462400
ms15571,part04-msg,NFS,94.94,170743360
ms71159,part03-msg,DOCKER,94.50,69097472
ms26562,part04-msg,NFS,94.48,186226776
ms17573,part04-msg,NFS,94.45,70441978
ms52009,part03-msg,DOCKER,94.42,212711456
ms42542,part07-msg,NFS,94.39,189720892
ms40543,part02-msg,NFS,94.38,190244240
ms32561,part03-msg,NFS,94.36,190745616
ms71190,part02-msg,DOCKER,94.35,71074816
ms26562,part05-msg,NFS,94.34,191036700
ms42541,part06-msg,NFS,94.32,192173212
ms27541,part05-msg,NFS,94.27,94474376
ms01542,part06-msg,NFS,94.26,442553564
ms71141,part03-msg,DOCKER,94.26,72201216
ms31561,part01-msg,NFS,94.25,194419052
ms44533,part01-msg,NFS,94.23,195284184
ms40524,part06-msg,NFS,94.21,195504652
ms35012,part02-msg,DOCKER,94.21,440582496
ms40533,part07-msg,NFS,94.20,194324660
ms37523,part05-msg,NFS,94.20,195716880
